duration,users
0,2
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,5
21,5
22,5
23,5
24,5
25,6
26,6
27,6
28,6
29,7
30,7
31,7
32,7
33,8
34,8
35,8
36,8
37,9
38,9
39,9
40,10
41,10
42,10
43,11
44,11
45,11
46,12
47,12
48,12
49,13
50,13
51,13
52,14
53,14
54,14
55,15
56,15
57,16
58,16
59,16
60,17
61,17
62,17
63,18
64,18
65,19
66,19
67,20
68,20
69,20
70,21
71,21
72,22
73,22
74,22
75,23
76,23
77,24
78,24
79,25
80,25
81,25
82,26
83,26
84,27
85,27
86,28
87,28
88,29
89,29
90,30
91,30
92,31
93,31
94,32
95,32
96,33
97,33
98,34
99,34
100,35
101,35
102,36
103,37
104,37
105,38
106,38
107,39
108,40
109,40
110,41
111,42
112,43
113,43
114,44
115,45
116,46
117,47
118,48
119,48
120,49
121,50
122,51
123,52
124,53
125,54
126,55
127,56
128,57
129,58
130,59
131,61
132,62
133,63
134,64
135,65
136,66
137,67
138,68
139,69
140,71
141,72
142,73
143,74
144,75
145,76
146,77
147,78
148,79
149,80
150,81
151,82
152,83
153,84
154,85
155,85
156,86
157,87
158,88
159,89
160,89
161,90
162,91
163,91
164,92
165,92
166,93
167,93
168,94
169,94
170,95
171,95
172,95
173,96
174,96
175,96
176,97
177,97
178,97
179,98
180,98
181,98
182,98
183,98
184,99
185,99
186,99
187,99
188,99
189,100
190,100
191,100
192,100
193,100
194,101
195,101
196,101
197,101
198,101
199,102
200,102
201,102
202,102
203,103
204,103
205,103
206,104
207,104
208,104
209,104
210,105
211,105
212,105
213,106
214,106
215,106
216,107
217,107
218,107
219,107
220,108
221,108
222,108
223,108
224,108
225,108
226,108
227,108
228,109
229,109
230,109
231,108
232,108
233,108
234,108
235,108
236,108
237,107
238,107
239,107
240,106
241,106
242,105
243,105
244,104
245,104
246,103
247,102
248,101
249,101
250,100
251,99
252,98
253,97
254,96
255,96
256,95
257,94
258,93
259,92
260,91
261,90
262,89
263,88
264,87
265,86
266,85
267,84
268,83
269,82
270,81
271,80
272,79
273,78
274,78
275,77
276,76
277,75
278,74
279,74
280,73
281,72
282,72
283,71
284,70
285,70
286,69
287,69
288,68
289,68
290,68
291,67
292,67
293,67
294,66
295,66
296,66
297,65
298,65
299,65
300,65
301,64
302,64
303,64
304,64
305,64
306,63
307,63
308,63
309,63
310,63
311,63
312,62
313,62
314,62
315,62
316,62
317,61
318,61
319,61
320,61
321,60
322,60
323,60
324,60
325,59
326,59
327,59
328,58
329,58
330,58
331,57
332,57
333,57
334,56
335,56
336,55
337,55
338,54
339,54
340,54
341,53
342,53
343,52
344,52
345,51
346,51
347,50
348,50
349,49
350,49
351,48
352,48
353,47
354,47
355,46
356,45
357,45
358,44
359,44
360,43
361,43
362,42
363,42
364,41
365,40
366,40
367,39
368,39
369,38
370,38
371,37
372,36
373,36
374,35
375,35
376,34
377,34
378,33
379,33
380,32
381,31
382,31
383,30
384,30
385,29
386,29
387,28
388,28
389,27
390,27
391,26
392,26
393,25
394,25
395,24
396,24
397,23
398,23
399,23
400,22
401,22
402,21
403,21
404,20
405,20
406,20
407,19
408,19
409,19
410,18
411,18
412,18
413,17
414,17
415,17
416,16
417,16
418,16
419,16
420,15
421,15
422,15
423,14
424,14
425,14
426,14
427,13
428,13
429,13
430,13
431,13
432,12
433,12
434,12
435,12
436,12
437,11
438,11
439,11
440,11
441,11
442,11
443,11
444,10
445,10
446,10
447,10
448,10
449,10
450,10
451,9
452,9
453,9
454,9
455,9
456,9
457,9
458,9
459,9
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,8
469,8
470,8
471,8
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,5
499,5
500,5
501,5
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,4
525,4
526,4
527,4
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
