duration,users
0,5
1,4
2,4
3,3
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,2
14,3
15,3
16,4
17,5
18,6
19,7
20,8
21,9
22,11
23,12
24,14
25,16
26,17
27,19
28,21
29,23
30,26
31,28
32,30
33,33
34,35
35,38
36,41
37,44
38,46
39,49
40,53
41,56
42,59
43,62
44,66
45,69
46,73
47,76
48,80
49,84
50,88
51,92
52,96
53,100
54,104
55,108
56,113
57,117
58,121
59,126
60,130
61,135
62,140
63,144
64,149
65,154
66,159
67,164
68,169
69,174
70,179
71,184
72,190
73,195
74,200
75,206
76,212
77,217
78,223
79,229
80,235
81,241
82,247
83,253
84,259
85,265
86,272
87,278
88,285
89,292
90,299
91,306
92,313
93,320
94,327
95,335
96,342
97,350
98,358
99,366
100,374
101,382
102,390
103,399
104,407
105,416
106,425
107,434
108,443
109,452
110,461
111,470
112,479
113,488
114,498
115,507
116,516
117,526
118,535
119,544
120,554
121,563
122,572
123,581
124,591
125,600
126,609
127,618
128,627
129,636
130,645
131,653
132,662
133,671
134,679
135,687
136,695
137,703
138,711
139,719
140,727
141,735
142,742
143,749
144,757
145,764
146,771
147,778
148,785
149,791
150,798
151,805
152,811
153,817
154,823
155,830
156,836
157,841
158,847
159,853
160,858
161,864
162,869
163,875
164,880
165,885
166,890
167,895
168,900
169,904
170,909
171,914
172,918
173,922
174,927
175,931
176,935
177,939
178,943
179,947
180,951
181,955
182,959
183,962
184,966
185,970
186,973
187,977
188,980
189,984
190,987
191,990
192,994
193,997
194,1000
195,1004
196,1007
197,1010
198,1013
199,1016
200,1019
201,1022
202,1026
203,1029
204,1032
205,1035
206,1038
207,1040
208,1043
209,1046
210,1048
211,1051
212,1053
213,1055
214,1057
215,1059
216,1061
217,1062
218,1063
219,1064
220,1065
221,1066
222,1066
223,1066
224,1066
225,1066
226,1065
227,1064
228,1063
229,1062
230,1060
231,1058
232,1055
233,1052
234,1049
235,1045
236,1041
237,1037
238,1032
239,1027
240,1022
241,1017
242,1012
243,1006
244,1000
245,994
246,988
247,981
248,975
249,968
250,962
251,955
252,949
253,942
254,936
255,929
256,923
257,916
258,910
259,904
260,898
261,892
262,887
263,881
264,876
265,871
266,866
267,862
268,858
269,854
270,851
271,847
272,844
273,841
274,839
275,836
276,834
277,831
278,829
279,827
280,824
281,822
282,820
283,818
284,816
285,814
286,811
287,809
288,806
289,803
290,800
291,797
292,794
293,790
294,787
295,783
296,778
297,774
298,769
299,763
300,757
301,751
302,745
303,738
304,731
305,723
306,715
307,707
308,699
309,690
310,681
311,673
312,664
313,654
314,645
315,636
316,626
317,617
318,607
319,598
320,588
321,579
322,569
323,560
324,551
325,542
326,533
327,524
328,516
329,508
330,500
331,492
332,485
333,478
334,471
335,465
336,459
337,453
338,447
339,442
340,437
341,433
342,428
343,424
344,420
345,416
346,412
347,409
348,405
349,402
350,399
351,396
352,392
353,389
354,386
355,383
356,380
357,377
358,374
359,371
360,368
361,364
362,361
363,357
364,354
365,350
366,346
367,342
368,337
369,333
370,328
371,323
372,318
373,313
374,307
375,302
376,296
377,290
378,285
379,279
380,273
381,267
382,261
383,255
384,249
385,244
386,238
387,232
388,226
389,220
390,214
391,209
392,203
393,198
394,192
395,187
396,182
397,177
398,172
399,168
400,163
401,159
402,155
403,151
404,148
405,144
406,141
407,138
408,135
409,132
410,129
411,127
412,125
413,122
414,120
415,118
416,116
417,114
418,113
419,111
420,110
421,108
422,107
423,105
424,104
425,103
426,102
427,101
428,100
429,99
430,98
431,97
432,96
433,95
434,94
435,94
436,93
437,92
438,91
439,90
440,89
441,88
442,88
443,87
444,86
445,85
446,84
447,83
448,82
449,82
450,81
451,80
452,79
453,78
454,77
455,76
456,75
457,74
458,73
459,72
460,71
461,69
462,68
463,67
464,66
465,65
466,63
467,62
468,61
469,59
470,58
471,57
472,55
473,54
474,52
475,51
476,49
477,48
478,46
479,45
480,43
481,42
482,40
483,39
484,38
485,36
486,35
487,33
488,32
489,31
490,29
491,28
492,27
493,26
494,24
495,23
496,22
497,21
498,20
499,19
500,19
501,18
502,17
503,16
504,16
505,15
506,15
507,14
508,14
509,14
510,13
511,13
512,13
513,12
514,12
515,12
516,12
517,12
518,12
519,12
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,11
533,11
534,11
535,11
536,11
537,11
538,11
539,11
540,11
541,10
542,10
543,10
544,10
545,10
546,9
547,9
548,9
549,9
550,8
551,8
552,8
553,7
554,7
555,7
556,7
557,6
558,6
559,6
560,5
561,5
562,5
563,5
564,4
565,4
566,4
567,3
568,3
569,3
570,3
571,3
572,2
573,2
574,2
575,2
576,2
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,2
595,2
596,2
597,2
598,3
599,3
